,student label,game score,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,previous competitive sports,# meals on day prior to game,x0_west coast,x0_evening,x0_morning,x0_noon,x0_early bird,x0_night owl,x0_frosh,x0_junior,x0_senior,x0_sophomore
0,1,36.83,1.0,0.17,6,7,curling,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
1,2,7.72,1.0,0.02,3,4,curling,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2,3,4.79,0.21,0.08,2,5,gymnastics,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3,4,6.96,0.11,0.89,2,7,baseball,6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
4,5,72.88,1.0,1.0,10,0,martial arts,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
5,6,27.28,0.97,0.0,6,6,martial arts,6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
6,7,23.04,0.8300000000000001,0.0,7,3,gymnastics,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
7,8,45.89,0.24,1.0,7,9,frisbee,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8,9,0.0,0.0,0.01,3,6,table tennis,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
9,10,23.23,0.0,0.52,8,5,basketball,3,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
10,11,22.65,0.0,0.87,9,12,martial arts,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
11,12,50.25,0.98,1.0,2,1,curling,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
12,13,48.78,1.0,0.54,7,10,basketball,3,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
13,14,0.0,0.34,0.0,7,4,gymnastics,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
14,15,54.8,1.0,0.84,10,10,table tennis,5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
15,16,0.0,0.0,0.0,3,2,football,3,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
16,17,47.82,1.0,0.92,6,1,curling,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
17,18,0.0,0.0,1.0,1,0,table tennis,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
18,19,10.96,0.0,0.0,7,7,martial arts,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
19,20,22.07,0.65,0.0,2,9,martial arts,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
20,21,48.3,0.21,1.0,5,8,curling,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
21,22,57.07,1.0,0.5,10,12,baseball,6,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
22,23,64.46000000000001,0.71,1.0,1,1,martial arts,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
23,24,49.86,0.2,0.07,6,1,gymnastics,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
24,25,73.21000000000001,1.0,1.0,9,12,football,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
25,26,33.410000000000004,0.23,0.53,0,0,martial arts,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
26,27,45.93,0.97,0.0,8,0,martial arts,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
27,28,61.83,1.0,0.81,8,12,table tennis,4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
28,29,39.12,1.0,0.14,5,11,baseball,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
29,30,28.54,0.0,0.0,5,10,football,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
30,31,53.2,0.85,0.61,7,11,curling,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
31,32,48.52,1.0,0.0,8,9,football,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
32,33,64.45,0.86,0.79,9,8,football,5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
33,34,63.67,1.0,0.72,8,1,football,3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
34,35,40.15,0.06,1.0,0,0,martial arts,4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
35,36,69.63,1.0,1.0,6,12,table tennis,5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
36,37,50.26,1.0,0.32,8,7,football,3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
37,38,36.72,0.11,0.92,8,4,martial arts,5,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
38,39,58.34,0.6900000000000001,0.56,7,12,martial arts,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
39,40,52.42,0.74,0.62,0,7,martial arts,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
40,41,33.42,1.0,0.0,2,8,martial arts,6,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
41,42,45.12,0.52,1.0,3,3,curling,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
42,43,58.27,1.0,0.61,6,4,basketball,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
43,44,31.25,0.97,0.23,5,3,frisbee,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
44,45,14.42,0.04,0.17,3,10,frisbee,3,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
45,46,47.09,0.74,0.76,8,10,football,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
46,47,0.0,0.11,0.08,2,11,gymnastics,6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
47,48,11.11,0.09,0.19,8,2,table tennis,3,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
48,49,16.03,0.67,0.0,0,11,baseball,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
49,50,16.66,0.0,0.0,2,3,baseball,5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
50,51,30.61,0.09,0.01,5,5,curling,2,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
51,52,62.190000000000005,0.8,0.99,5,1,frisbee,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
52,53,47.56,0.4,1.0,6,10,table tennis,4,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
53,54,70.38,1.0,0.92,9,8,table tennis,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
54,55,31.47,0.21,0.6900000000000001,5,6,martial arts,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
55,56,45.11,0.0,0.0,0,0,football,6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
56,57,38.01,0.48,0.79,3,0,football,6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
57,58,30.05,0.32,0.11,5,6,football,3,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
58,59,59.25,0.95,0.66,8,3,baseball,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
59,60,22.82,0.33,0.81,3,0,martial arts,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
60,61,22.94,0.16,0.65,3,7,frisbee,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
61,62,33.5,0.22,0.47,6,6,basketball,2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
62,63,16.3,0.0,0.85,8,9,curling,3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
63,64,69.86,0.98,0.92,9,11,martial arts,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
64,65,10.2,0.26,0.01,0,1,football,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
65,66,24.18,0.42,0.08,9,6,table tennis,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
66,67,19.04,0.01,0.94,2,0,football,6,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
67,68,20.83,1.0,0.0,5,10,gymnastics,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
68,69,69.43,0.99,0.95,8,9,football,5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
69,70,13.73,1.0,0.13,5,0,gymnastics,3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
70,71,5.23,0.0,0.13,9,0,curling,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
71,72,7.77,0.0,0.02,8,2,curling,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
72,73,21.17,0.21,0.95,7,3,table tennis,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
73,74,68.42,0.85,1.0,10,11,football,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
74,75,0.0,0.04,0.15,3,0,football,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
75,76,4.94,1.0,0.12,4,1,baseball,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
76,77,27.91,0.84,0.01,7,8,baseball,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
77,78,0.0,0.63,0.07,3,0,curling,6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
78,79,16.84,0.7000000000000001,0.11,1,6,football,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
79,80,23.82,0.67,0.12,6,8,curling,5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
80,81,68.3,1.0,0.81,10,2,curling,3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
81,82,47.2,0.93,0.12,4,7,martial arts,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
82,83,68.58,0.68,1.0,6,3,martial arts,6,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
83,84,48.79,0.98,0.43,2,5,martial arts,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
84,85,25.54,0.32,0.04,8,9,curling,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
85,86,52.06,0.98,0.05,8,12,martial arts,3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
86,87,35.63,0.97,0.0,5,10,baseball,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
87,88,37.62,0.71,0.24,4,5,football,3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
88,89,96.23,0.96,1.0,10,7,basketball,3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
89,90,65.34,0.88,0.49,10,10,frisbee,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
90,91,43.21,0.8300000000000001,0.41,4,8,baseball,6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
91,92,82.96000000000001,0.8,1.0,3,9,basketball,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
92,93,66.47,0.32,0.0,0,1,curling,6,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
93,94,24.01,0.05,0.0,7,2,football,6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
94,95,47.92,0.91,0.68,4,11,curling,3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
95,96,69.49,0.95,0.86,8,3,martial arts,3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
96,97,48.63,0.92,0.1,9,3,martial arts,4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
97,98,71.51,0.96,0.98,3,11,curling,4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
98,99,35.09,0.2,0.67,9,12,table tennis,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
99,100,72.07000000000001,0.86,1.0,7,6,gymnastics,5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
100,101,17.62,0.44,0.27,8,9,baseball,4,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
101,102,79.38,1.0,1.0,8,7,martial arts,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
102,103,39.69,0.07,1.0,8,6,curling,4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
103,104,52.46,0.98,0.65,8,6,table tennis,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
104,105,32.77,0.8200000000000001,0.0,0,8,baseball,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
105,106,18.07,0.43,0.81,0,1,frisbee,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
106,107,19.14,0.0,0.96,4,10,football,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
107,108,79.12,0.86,1.0,9,8,frisbee,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
108,109,4.66,0.09,0.84,6,6,baseball,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
109,110,1.25,0.12,0.0,8,0,baseball,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
110,111,31.33,0.25,0.88,5,9,table tennis,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
111,112,42.51,0.04,0.32,3,7,table tennis,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
112,113,77.86,0.85,1.0,10,5,gymnastics,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
113,114,38.01,0.0,0.0,4,6,martial arts,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
114,115,25.4,0.91,0.06,1,0,baseball,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
115,116,28.05,0.39,0.01,2,2,football,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
116,117,29.63,0.12,0.0,6,2,martial arts,3,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
117,118,45.5,0.0,0.81,4,11,basketball,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
118,119,52.92,0.93,0.79,6,1,baseball,5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
119,120,61.42,0.64,1.0,0,1,table tennis,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
120,121,19.5,0.08,0.87,7,8,football,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
121,122,67.81,0.91,1.0,1,2,frisbee,4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
122,123,8.89,0.0,0.16,0,4,basketball,5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
123,124,27.18,1.0,0.17,8,4,gymnastics,5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
124,125,42.64,0.96,0.53,0,9,table tennis,6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
125,126,41.66,0.56,0.51,4,8,basketball,3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
