,student label,score,coast,game scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early bird/night owl,previous competitive sports,meals,university year
527,528,32.72,west coast,morning,0.28,0.54,1,5,early bird,curling,5,sophomore
527,528,40.03,west coast,noon,0.3,0.77,2,7,early bird,curling,5,sophomore
527,528,62.1,west coast,noon,0.64,1.0,2,8,early bird,curling,5,sophomore
527,528,0.0,west coast,noon,0.22,0.87,2,11,early bird,curling,5,sophomore
527,528,32.12,west coast,evening,0.33,1.0,1,10,early bird,curling,5,sophomore
527,528,31.49,west coast,noon,0.36,0.99,0,9,early bird,curling,5,sophomore
527,528,46.33,west coast,morning,0.61,0.84,0,9,early bird,curling,5,sophomore
527,528,28.29,west coast,noon,0.43,0.75,1,9,early bird,curling,5,sophomore
527,528,22.58,west coast,evening,0.65,0.54,0,10,early bird,curling,5,sophomore
527,528,18.23,west coast,evening,0.8300000000000001,0.08,0,11,early bird,curling,5,sophomore
