,student label,game score,coast,game scheduled,percent training sessions attended,overall fitness score,# extra strategy sessions attended,hours of sleep the night before game,early bird/night owl,previous competitive sports,# meals on day prior to game,university year
703,704,42.6,west coast,evening,0.68,0.62,6,8,early bird,frisbee,4,frosh
703,704,48.47,west coast,morning,0.48,0.6,6,9,early bird,frisbee,4,frosh
703,704,47.46,west coast,morning,0.73,0.31,5,10,early bird,frisbee,4,frosh
703,704,24.94,west coast,noon,1.0,0.09,6,9,early bird,frisbee,4,frosh
703,704,45.81,west coast,noon,1.0,0.0,5,8,early bird,frisbee,4,frosh
703,704,45.21,west coast,noon,1.0,0.0,6,8,early bird,frisbee,4,frosh
703,704,33.37,west coast,noon,0.88,0.0,5,8,early bird,frisbee,4,frosh
703,704,43.41,west coast,noon,0.74,0.1,6,8,early bird,frisbee,4,frosh
703,704,45.12,west coast,noon,0.75,0.0,5,8,early bird,frisbee,4,frosh
703,704,36.53,west coast,evening,0.77,0.15,5,8,early bird,frisbee,4,frosh
