,student label,score,coast,game_scheduled,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,early_late,previous_sport,meals,university_year
963,964,63.55,west coast,evening,0.99,0.6,10,10,night owl,curling,4,sophomore
963,964,45.14,west coast,noon,0.86,0.2,10,12,night owl,curling,4,sophomore
963,964,42.78,west coast,evening,0.63,0.05,10,11,night owl,curling,4,sophomore
963,964,32.12,west coast,noon,0.0,0.0,10,12,night owl,curling,4,junior
963,964,35.11,west coast,noon,0.02,0.07,10,11,night owl,curling,4,junior
963,964,50.98,west coast,evening,0.0,0.0,9,11,night owl,curling,4,junior
963,964,8.31,west coast,noon,0.0,0.05,7,12,night owl,curling,4,senior
963,964,0.0,west coast,noon,0.08,0.03,8,11,night owl,curling,4,senior
963,964,11.83,west coast,noon,0.02,0.18,7,12,night owl,curling,4,senior
963,964,40.66,west coast,noon,0.0,0.2,7,12,night owl,curling,4,senior
