,Unnamed: 0,student label,score,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,previous_sport,meals,east_coast,west_coast,evening,morning,noon,early_bird,night_owl,frosh,junior,senior,soph
911,911,912,10.53,0.1,0.11,1,6,baseball,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
911,911,912,10.53,0.1,0.11,1,6,baseball,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
911,911,912,10.53,0.1,0.11,1,6,baseball,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
911,911,912,10.53,0.1,0.11,1,6,baseball,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
911,911,912,10.53,0.1,0.11,1,6,baseball,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
911,911,912,10.53,0.1,0.11,1,6,baseball,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
911,911,912,10.53,0.1,0.11,1,6,baseball,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
911,911,912,10.53,0.1,0.11,1,6,baseball,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
911,911,912,10.53,0.1,0.11,1,6,baseball,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
911,911,912,10.53,0.1,0.11,1,6,baseball,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
