,Unnamed: 0,student label,score,percent_training_seshes,fitness_score,extra_strategy_sessions_attended,hours_of_sleep,previous_sport,meals,east_coast,west_coast,x0_evening,x0_morning,x0_noon,early_bird,night_owl,frosh,junior,senior,soph
0,0,1,10.95,0.39,0.38,5,5,curling,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1,1,2,35.08,0.75,0.51,9,10,curling,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2,2,3,9.47,0.68,0.17,3,5,gymnastics,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
3,3,4,32.55,0.68,0.84,3,12,baseball,6,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
4,4,5,49.35,0.93,0.6900000000000001,9,5,martial arts,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
5,5,6,17.900000000000002,0.51,0.33,4,5,martial arts,6,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
6,6,7,21.01,0.62,0.05,8,2,gymnastics,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
7,7,8,8.46,0.19,0.54,7,12,frisbee,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8,8,9,12.38,0.45,0.62,2,9,table tennis,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
9,9,10,8.64,0.37,0.35,6,2,basketball,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
10,10,11,71.13,0.59,0.89,9,11,martial arts,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
11,11,12,41.87,0.66,0.35,3,4,curling,5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
12,12,13,61.59,0.6,0.6900000000000001,8,7,basketball,3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
13,13,14,35.22,0.39,0.06,6,3,gymnastics,4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14,14,15,64.33,0.95,0.39,10,10,table tennis,5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
15,15,16,37.63,0.03,0.02,3,5,football,3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
16,16,17,51.370000000000005,0.92,0.53,8,3,curling,5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
17,17,18,36.2,0.34,0.47,2,3,table tennis,4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
18,18,19,53.03,0.38,0.45,7,5,martial arts,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
19,19,20,46.7,0.41,0.5700000000000001,4,6,martial arts,3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
20,20,21,36.72,0.17,0.22,8,11,curling,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
21,21,22,53.33,0.97,0.75,8,10,baseball,6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
22,22,23,30.5,0.18,0.66,1,1,martial arts,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
23,23,24,27.0,0.78,0.26,6,1,gymnastics,5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
24,24,25,64.8,0.95,0.73,9,10,football,5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
25,25,26,12.36,0.05,0.41,0,1,martial arts,3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
26,26,27,59.75,0.6,0.51,9,1,martial arts,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
27,27,28,45.25,0.71,0.84,6,8,table tennis,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
28,28,29,41.55,0.59,0.54,8,11,baseball,3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
29,29,30,31.82,0.11,0.11,7,9,football,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
30,30,31,67.7,0.96,0.97,6,10,curling,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
31,31,32,47.93,0.97,0.4,10,7,football,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
32,32,33,47.37,0.8200000000000001,0.58,6,7,football,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
33,33,34,49.5,0.95,0.63,7,2,football,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
34,34,35,22.2,0.01,0.3,0,0,martial arts,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
35,35,36,60.65,0.89,0.77,8,11,table tennis,5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
36,36,37,57.48,0.91,0.27,10,10,football,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
37,37,38,36.25,0.51,0.29,6,5,martial arts,5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
38,38,39,65.32000000000001,0.77,0.87,10,11,martial arts,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
39,39,40,26.54,0.11,0.28,1,4,martial arts,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
40,40,41,41.72,0.89,0.73,3,5,martial arts,6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
41,41,42,48.61,0.88,0.39,7,2,curling,5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
42,42,43,47.92,0.58,0.68,3,4,basketball,4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
43,43,44,30.7,0.26,0.54,1,2,frisbee,5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
44,44,45,29.02,0.19,0.36,5,7,frisbee,3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
45,45,46,74.8,0.94,0.94,9,10,football,3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
46,46,47,22.51,0.41,0.1,5,5,gymnastics,6,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
47,47,48,0.0,0.18,0.19,6,1,table tennis,3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
48,48,49,28.15,0.27,0.86,1,11,baseball,3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
49,49,50,20.9,0.1,0.05,2,2,baseball,5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
50,50,51,19.07,0.09,0.09,5,5,curling,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
51,51,52,52.44,0.87,0.74,6,2,frisbee,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
52,52,53,26.82,0.27,0.12,3,10,table tennis,4,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
53,53,54,43.86,0.95,0.33,10,5,table tennis,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
54,54,55,51.01,0.81,0.72,5,7,martial arts,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
55,55,56,23.46,0.79,0.18,5,2,football,6,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
56,56,57,21.54,0.2,0.72,0,2,football,6,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
57,57,58,21.91,0.16,0.01,7,4,football,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
58,58,59,42.49,0.78,0.76,5,2,baseball,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
59,59,60,44.49,0.76,0.51,7,1,martial arts,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
60,60,61,44.37,0.35,0.79,1,7,frisbee,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
61,61,62,42.7,0.3,0.72,4,5,basketball,2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
62,62,63,29.64,0.44,0.74,6,11,curling,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
63,63,64,58.89,0.72,0.72,9,11,martial arts,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
64,64,65,42.88,0.85,0.5700000000000001,4,3,football,4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
65,65,66,36.0,0.03,0.11,6,7,table tennis,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
66,66,67,30.57,0.36,0.27,2,3,football,6,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
67,67,68,34.85,0.76,0.35,6,10,gymnastics,4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
68,68,69,49.92,0.84,0.66,8,9,football,5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
69,69,70,25.71,0.42,0.0,8,1,gymnastics,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
70,70,71,35.39,0.53,0.15,9,3,curling,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
71,71,72,8.5,0.29,0.49,4,3,curling,3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
72,72,73,14.41,0.48,0.49,5,4,table tennis,4,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
73,73,74,31.88,0.95,0.43,9,10,football,5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
